12,1938,195,43,9.83, #,Camm,1938, MNRAS,99, 71;,PNe,,,,,,,,,,,,,,,,,,,,,,,
9,1949,253,8,10,  #,Fricke,1949, AN,277, 241;,~600,disk,stars, R0,not,explicitly,mentioned,,,,,,,,,,,,,,,,,
11,1949,276,21,10,  #,Fricke,1949, AN,278, 49;,60,high-velocity,stars,in,the,solar,neighborhood, R0,not,explicitly,mentioned,,,,,,,,,,,,,
12,1967,221,46,8.5,  #,Fricke,1967, AJ,72, 1368;,PMs,of,512,bright,stars, R0(A-B), FK4,,,,,,,,,,,,,,,,,
12,1967,230,51,8.5,  #,Fricke,1967, AJ,72, 1368;,PMs,of,512,bright,stars, R0(A-B), N30,,,,,,,,,,,,,,,,,
6,1972,198,10,8,  #,Toomre,1972, QJRAS,13, 266;,Magellanic,Cloud,orbits,,,,,,,,,,,,,,,,,,,,,
0,1974,275,20,10,  #,Isobe,1974, A&A,36, 327;,656,high-velocity,stars,from,Eggen,-1964,,,,,,,,,,,,,,,,,,
7,1974,228,24,8.9,  #,Cruz-Gonzalez,1974, MNRAS,168, 41;,stars,<,25,pc,,,,,,,,,,,,,,,,,,,,
8,1975,215,15,9,  #,Woltjer,1975, A&A,42, 109;,GC,kinematics, 200-225,km,s-1,,,,,,,,,,,,,,,,,,,
0,1976,214,8,8,  #,Einasto,et,al.,1976, Stars,and,galaxies,from,observational,points,of,view, p.,398;,Galactic,stellar,populations,,,,,,,,,,,,
10,1977,294,42,10,  #,Lynden-Bell,&,Lin,1977, MNRAS,181, 37;,Solar,motion,w.r.t.,Local,Group,galaxies, few,constraints,,,,,,,,,,,,,,
10,1977,294,13,10,  #,Lynden-Bell,&,Lin,1977, MNRAS,181, 37;,-5,km,s-1, more,constraints,,,,,,,,,,,,,,,,,
12,1978,220,15,8.5,  #,Knapp,et,al.,1978, AJ,83, 1585;,HI,at,disk,edge, first,and,second,quadrants,,,,,,,,,,,,,,
0,1979,217,10,8.5,  #,Einasto,et,al.,1979, IAUS,84, 231;,Galactic,constants, R0:,Einasto,1979,,,,,,,,,,,,,,,,,
0,1979,220,7,8.5,  #,Einasto,et,al.,1979, IAUS,84, 231;,Galactic,companions, R0,based,on,Einasto,1979,,,,,,,,,,,,,,,
0,1979,221,5,8.5,  #,Einasto,1979, IAUS,84, 451;,best,fit,of,Galactic,constants, smoothed,value,,,,,,,,,,,,,,,,,
0,1979,220,10,8.5,  #,Einasto,1979, IAUS,84, 451;,best,fit,of,Galactic,constants, observed,,,,,,,,,,,,,,,,,,
8,1979,220,20,8.5,  #,Gunn,et,al.,1979, AJ,84, 1181;,HI,data, nearly,flat,RC,,,,,,,,,,,,,,,,,
2,1980,250,40,7,  #,Clube,&,Dawe,1980, MNRAS,190, 591;,59,RR,Lyrae,,,,,,,,,,,,,,,,,,,
10,1980,215,15,9,  #,Frenk,&,White,1980, MNRAS,193, 295;,GCs, 200-225,km,s-1,,,,,,,,,,,,,,,,,,
3,1981,184,9,8.5,  #,Shuter,1981, MNRAS,194, 851;,HI,and,CO, flat,RC,,,,,,,,,,,,,,,,,,,
12,1981,243,20,9.1,  #,Caldwell,&,Ostriker,1981, ApJ,251, 61;,Oort,constants;,OB,stars, Cepheids, PNe, RR,Lyrae, HII,regions, OCs, RSGs,,,,,,,,,,
12,1981,212,16,8.5,  #,Lynden-Bell,&,Frenk,1981, Obs,101, 200;,GC,kinematics, R0,not,explicitly,mentioned;,not,scalable,by,R0,,,,,,,,,,,,
0,1983,238,10,8.5,  #,Ostriker,&,Caldwell,1983, ASSL,100, 249;,Galactic,mass,modeling, Oort,constants,,,,,,,,,,,,,,,,,
6,1984,212,19,8.5,  #,Pier,1984, ApJ,281, 260;,202,metal-poor,halo,field,AB,stars, lower,limit,,,,,,,,,,,,,,,,
8,1985,252,2,10,  #,Clemens,1985, ApJ,295, 422;,CO,+,HI, HII,regions, GCs, 2AR0,,,,,,,,,,,,,,,,,
4,1986,185,12,7.9,  #,Rohlfs,et,al.,1986, A&A,158, 181;,HII,regions,,,,,,,,,,,,,,,,,,,,
8,1986,222,20,8.5,  #,Kerr,&,Lynden-Bell,1986, MNRAS,221, 1023;,literature,review,,,,,,,,,,,,,,,,,,,,
5,1987,228,19,7.8,  #,Caldwell,&,Coulson,1987, AJ,93, 1090;,Cepheids, Oort,constants,,,,,,,,,,,,,,,,,,,
8,1987,214,31,8.5,  #,Hanson,1987, AJ,94, 409;,faint,disk,stars,R0(A-B),,,,,,,,,,,,,,,,,,,,
9,1987,235,10,8.5,  #,Carlberg,&,Innanen,1987, AJ,94, 666;,small,sample,of,high-velocity-dispersion,disk,stars,,,,,,,,,,,,,,,,
0,1988,248,16,8.5,  #,Schechter,et,al.,1988, LNP,306, 31;,268,carbon,stars,in,the,southern,MW;,2AR0, R0,not,explicitly,mentioned,but,consistent,with,8.5,kpc,,,,,
0,1988,228,19,8.28, #,Caldwell,&,Coulson,1988, LNP,306, 68;,2AR0, Cepheids,PLC,,,,,,,,,,,,,,,,,,,
0,1988,238,20,7.66, #,Caldwell,&,Coulson,1988, LNP,306, 68;,2AR0, Cepheids,PLR(V),,,,,,,,,,,,,,,,,,,
0,1988,218,18,7.58, #,Caldwell,&,Coulson,1988, LNP,306, 68;,2AR0, Cepheids,PLR(I),,,,,,,,,,,,,,,,,,,
0,1988,228,18,7.83, #,Caldwell,&,Coulson,1988, LNP,306, 68;,2AR0, average,,,,,,,,,,,,,,,,,,,,
3,1988,180,6,8.5,  #,Robinson,et,al.,1988, A&A,193, 60;,CO, southern,hemisphere, 2AR0,,,,,,,,,,,,,,,,,,
10,1988,272,26,8.5,  #,Dubath,et,al.,1988, A&A,205, 77;,2AR0, late-type,supergiants,,,,,,,,,,,,,,,,,,,
1,1990,209,2,8.5,  #,Alvarez,et,al.,1990, ApJ,348, 495;,CO, flat,RC;,R0,unclear,but,not,scalable,,,,,,,,,,,,,,
